prompt,completion
“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,"anticipation
optimism
trust"
Whatever you decide to do make sure it makes you #happy.,"joy
love
optimism"
"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS","anger
disgust
joy
optimism"
Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶,"joy
optimism"
My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,"anger
disgust"
No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,joy
Do you think humans have the sense for recognizing impending doom? ,"anticipation
pessimism"
"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight","anger
disgust"
it's pretty depressing when u hit pan on ur favourite highlighter,"disgust
sadness"
@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,"anger
disgust"
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,"disgust
pessimism
sadness"
And it's hard to dance with a devil on your back\nSo shake him off.,
Tiller and breezy should do a collab album. Rapping and singing prolly be fire,"joy
love"
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,"anger
sadness"
@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,"anger
disgust"
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,"anger
disgust
sadness"
@BitchestheCat Look at those teef! #growl,"anger
disgust
fear"
Star trek online has a update to download oh fuming yay,"anger
disgust
joy
sadness"
"The bitter the battle, the sweeter the victory...","joy
optimism"
i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,"anger
disgust
sadness"
@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,"anger
disgust"
#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India,"fear
sadness"
Awareness of time is awareness of time lost. #awareness #time ,"joy
love
optimism"
Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,"anger
disgust"
@zorefx you guys will see what i did in the next video but its fucking horrid,"anger
disgust
fear
sadness"
What a fucking muppet.  @jRwild1  #stalker.,"anger
disgust"
@adamrodricks I like your optimism!,"joy
optimism"
My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,"anger
disgust
joy"
@FaithHill I remember it well #happy #afraid #Positive,"fear
joy
love
optimism"
Autocorrect changes ''em' to 'me' which I resent greatly,"anger
disgust"
"I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.","anger
disgust
joy
optimism"
@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,"anger
disgust
fear"
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. ,"fear
joy
sadness"
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,"anger
disgust
sadness"
You have to find a way to top yourself. #glee,"joy
love
optimism"
@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,"anger
disgust"
#smile every morning to a positive head start with your #clients relations,"joy
optimism"
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,optimism
@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1,
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,"disgust
fear
optimism
trust"
All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,"anger
disgust
joy
sadness"
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),"optimism
sadness"
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",fear
@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,"anger
disgust"
"He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH","anger
disgust
sadness
surprise"
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography ,"anticipation
joy
optimism"
@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!,"joy
love
optimism"
I was so shy freshman year this guy introduced himself to me by asking if I spoke any English,"anticipation
joy
sadness"
Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,"love
optimism
trust"
@wabermes The @RavalliRepublic had a good one but then the reporter quit. ,
@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?,"anticipation
joy
optimism"
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,"anger
disgust
joy
surprise"
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",sadness
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,"optimism
pessimism
sadness"
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway","anger
disgust"
@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,"anger
disgust"
@loismackey_ @Dory nah way that's horrible,"anger
disgust"
@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,"anger
disgust
fear"
angel delight is my everything,"joy
love"
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,"anger
anticipation"
In dire need of a worship session to just let go of everything,"anticipation
fear
optimism
sadness"
Brb going to sulk in bed until Friday,"anger
disgust
joy
pessimism
sadness"
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,"anticipation
joy"
This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative,"joy
optimism"
Weak people revenge. Strong people forgive. Intelligent people ignore.,"anger
optimism"
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,anger
"I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..","joy
optimism"
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,"joy
love"
@Bridget_Delia @originalaubs omg that's terrible,"anger
disgust
fear
sadness"
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",love
"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...","anticipation
fear"
"Jorge deserves it, honestly. He's weak.  #90dayfiance","anger
disgust"
Modern family never fails to cheer me up. Especially Phil.,"joy
love
optimism"
Sometimes I get to sit back and be proud of myself for pleasing Him so well.,"joy
love
optimism"
Follow me on Snapchat 👻 Carlabtst15 #snapchat ,"joy
optimism"
@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),"anger
disgust"
It's way too hard not to get discouraged.,"anger
pessimism
sadness"
@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,"joy
love
surprise"
"Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri",
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff","anger
disgust
fear"
Manchester derby at home ,joy
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern","anger
disgust
fear
pessimism
surprise"
"@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x","joy
optimism"
@JaredWyand Maybe if it was transgender the media would cover it #outrage,"anger
sadness"
her; i want a playful relationship\nme; *kicks her off the couch*,joy
Romero is fucking dreadful like seriously my 11 month old is better than him.,"anger
disgust"
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,"joy
optimism"
Since the 'update' my @iPhone loses power nearly 40% faster. ,"anger
disgust
sadness"
"@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.","anger
disgust"
"All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.","anticipation
joy
optimism"
@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;,"anticipation
joy
love
optimism"
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,"sadness
surprise"
"Anger, resentment, and hatred are the destroyer of your fortune today.","anger
optimism"
Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals,"joy
optimism
trust"
@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 ,"anger
disgust
sadness"
"@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs","anger
joy"
so gutted i dropped one of my earrings down the sink at school,sadness
The Quarterback' wrecks me every time.. #glee,"joy
optimism"
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom",disgust
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",joy
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,"anticipation
optimism
trust"
"it's still not sunk in that im seeing joe next month, im so grateful and excited shit","joy
optimism"
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.","joy
love"
I'm so bored and fat and full and ridiculously overweight and rolls galore ,"disgust
pessimism
sadness"
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,"joy
optimism"
"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ","joy
optimism"
"@happyandbashful Flirt, simper, pout, repeat. Yuck.","anger
disgust"
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.","anger
disgust
pessimism"
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,"anger
disgust"
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,"anger
disgust
sadness"
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",anger
Nor hell a fury like a woman scorned -- William Congreve,"anger
fear"
"@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.",
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,"disgust
sadness"
@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace,"joy
optimism
sadness
trust"
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",sadness
@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness ,"anger
disgust
sadness"
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO","fear
joy
love"
@Myahrissavietta I'm cheery now 😘😉,"joy
love
optimism"
Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby,"joy
optimism"
I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep,"anger
disgust
fear
joy
love
sadness"
@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨,"joy
love"
Brad Pitt being investigated for child abuse?! this all just got really #dark,"anger
disgust
sadness"
Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh,"anticipation
joy
optimism
surprise"
should I #start posting #photos?,anticipation
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry,"anger
disgust"
"@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'","anger
disgust
joy
optimism"
Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious,joy
Need a new outlet for #rage,"anger
disgust"
Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically,"anticipation
joy
love
optimism"
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo,"joy
love"
